=== Torus Throughput Benchmark ===
Mode: consensus
Sign mode: eip712 (secp256k1 ecrecover per action)
Duration: 200s
Senders: 20 (offset 60)
Batch size: 400 order(s)/action
Submit batch: 1 action(s)/RPC call
RPC endpoints: 3

[105s] submitted: 4,200 actions (40/s) | included: 4,185 actions (40/s) | orders ~15970/s | blk: #13791 | 39ms/blk
[105s] submitted: 4,220 actions (40/s) | included: 4,205 actions (40/s) | orders ~15957/s | blk: #13826 | 39ms/blk
[106s] submitted: 4,260 actions (40/s) | included: 4,245 actions (40/s) | orders ~16006/s | blk: #13851 | 39ms/blk
[107s] submitted: 4,280 actions (40/s) | included: 4,245 actions (40/s) | orders ~15930/s | blk: #13851 | 39ms/blk
[107s] submitted: 4,300 actions (40/s) | included: 4,292 actions (40/s) | orders ~15998/s | blk: #13870 | 39ms/blk
[108s] submitted: 4,320 actions (40/s) | included: 4,305 actions (40/s) | orders ~15964/s | blk: #13896 | 39ms/blk
[109s] submitted: 4,340 actions (40/s) | included: 4,345 actions (40/s) | orders ~16018/s | blk: #13920 | 39ms/blk
[109s] submitted: 4,380 actions (40/s) | included: 4,365 actions (40/s) | orders ~15997/s | blk: #13943 | 39ms/blk
[110s] submitted: 4,400 actions (40/s) | included: 4,385 actions (40/s) | orders ~15987/s | blk: #13951 | 39ms/blk
[110s] submitted: 4,420 actions (40/s) | included: 4,405 actions (40/s) | orders ~15977/s | blk: #13971 | 39ms/blk
[111s] submitted: 4,440 actions (40/s) | included: 4,405 actions (40/s) | orders ~15904/s | blk: #13971 | 39ms/blk
[112s] submitted: 4,480 actions (40/s) | included: 4,465 actions (40/s) | orders ~16006/s | blk: #13995 | 39ms/blk
[112s] submitted: 4,500 actions (40/s) | included: 4,465 actions (40/s) | orders ~15933/s | blk: #14016 | 39ms/blk
[113s] submitted: 4,520 actions (40/s) | included: 4,505 actions (40/s) | orders ~15973/s | blk: #14018 | 39ms/blk
[113s] submitted: 4,540 actions (40/s) | included: 4,525 actions (40/s) | orders ~15963/s | blk: #14058 | 38ms/blk
[114s] submitted: 4,560 actions (40/s) | included: 4,525 actions (40/s) | orders ~15892/s | blk: #14058 | 38ms/blk
[115s] submitted: 4,600 actions (40/s) | included: 4,585 actions (40/s) | orders ~15983/s | blk: #14090 | 38ms/blk
[115s] submitted: 4,620 actions (40/s) | included: 4,605 actions (40/s) | orders ~15972/s | blk: #14109 | 38ms/blk
[116s] submitted: 4,640 actions (40/s) | included: 4,625 actions (40/s) | orders ~15961/s | blk: #14130 | 38ms/blk
[116s] submitted: 4,660 actions (40/s) | included: 4,625 actions (40/s) | orders ~15892/s | blk: #14130 | 38ms/blk
[117s] submitted: 4,700 actions (40/s) | included: 4,685 actions (40/s) | orders ~15981/s | blk: #14162 | 38ms/blk
[118s] submitted: 4,720 actions (40/s) | included: 4,705 actions (40/s) | orders ~15972/s | blk: #14180 | 38ms/blk
[118s] submitted: 4,740 actions (40/s) | included: 4,705 actions (40/s) | orders ~15904/s | blk: #14182 | 39ms/blk
[119s] submitted: 4,780 actions (40/s) | included: 4,765 actions (40/s) | orders ~16000/s | blk: #14224 | 38ms/blk
[120s] submitted: 4,800 actions (40/s) | included: 4,785 actions (40/s) | orders ~15985/s | blk: #14243 | 38ms/blk
[120s] submitted: 4,820 actions (40/s) | included: 4,805 actions (40/s) | orders ~15976/s | blk: #14253 | 38ms/blk
[121s] submitted: 4,840 actions (40/s) | included: 4,805 actions (40/s) | orders ~15909/s | blk: #14254 | 38ms/blk
[122s] submitted: 4,880 actions (40/s) | included: 4,865 actions (40/s) | orders ~15999/s | blk: #14297 | 38ms/blk
[122s] submitted: 4,900 actions (40/s) | included: 4,865 actions (40/s) | orders ~15933/s | blk: #14297 | 38ms/blk
[123s] submitted: 4,920 actions (40/s) | included: 4,910 actions (40/s) | orders ~15985/s | blk: #14326 | 38ms/blk
[123s] submitted: 4,940 actions (40/s) | included: 4,925 actions (40/s) | orders ~15962/s | blk: #14340 | 38ms/blk
[124s] submitted: 4,980 actions (40/s) | included: 4,965 actions (40/s) | orders ~15993/s | blk: #14348 | 38ms/blk
[125s] submitted: 5,000 actions (40/s) | included: 4,985 actions (40/s) | orders ~15982/s | blk: #14387 | 38ms/blk
[125s] submitted: 5,020 actions (40/s) | included: 5,025 actions (40/s) | orders ~16027/s | blk: #14411 | 38ms/blk
[126s] submitted: 5,046 actions (40/s) | included: 5,045 actions (40/s) | orders ~16014/s | blk: #14430 | 38ms/blk
[127s] submitted: 5,068 actions (40/s) | included: 5,045 actions (40/s) | orders ~15948/s | blk: #14436 | 38ms/blk
[127s] submitted: 5,100 actions (40/s) | included: 5,085 actions (40/s) | orders ~15991/s | blk: #14459 | 38ms/blk
[128s] submitted: 5,120 actions (40/s) | included: 5,085 actions (40/s) | orders ~15928/s | blk: #14459 | 38ms/blk
[128s] submitted: 5,140 actions (40/s) | included: 5,130 actions (40/s) | orders ~15970/s | blk: #14477 | 38ms/blk
[129s] submitted: 5,180 actions (40/s) | included: 5,165 actions (40/s) | orders ~15997/s | blk: #14516 | 38ms/blk
[130s] submitted: 5,200 actions (40/s) | included: 5,185 actions (40/s) | orders ~15988/s | blk: #14539 | 38ms/blk
[130s] submitted: 5,220 actions (40/s) | included: 5,219 actions (40/s) | orders ~16011/s | blk: #14543 | 38ms/blk
[131s] submitted: 5,240 actions (40/s) | included: 5,225 actions (40/s) | orders ~15964/s | blk: #14563 | 38ms/blk
[132s] submitted: 5,280 actions (40/s) | included: 5,265 actions (40/s) | orders ~16005/s | blk: #14587 | 38ms/blk
[132s] submitted: 5,300 actions (40/s) | included: 5,285 actions (40/s) | orders ~15994/s | blk: #14608 | 38ms/blk
[133s] submitted: 5,320 actions (40/s) | included: 5,285 actions (40/s) | orders ~15934/s | blk: #14608 | 38ms/blk
[133s] submitted: 5,340 actions (40/s) | included: 5,343 actions (40/s) | orders ~16013/s | blk: #14616 | 38ms/blk
[134s] submitted: 5,360 actions (40/s) | included: 5,345 actions (40/s) | orders ~15956/s | blk: #14652 | 38ms/blk
[135s] submitted: 5,400 actions (40/s) | included: 5,385 actions (40/s) | orders ~15996/s | blk: #14677 | 38ms/blk
[135s] submitted: 5,420 actions (40/s) | included: 5,425 actions (40/s) | orders ~16039/s | blk: #14700 | 38ms/blk
[136s] submitted: 5,440 actions (40/s) | included: 5,445 actions (40/s) | orders ~16027/s | blk: #14708 | 38ms/blk
[136s] submitted: 5,460 actions (40/s) | included: 5,445 actions (40/s) | orders ~15968/s | blk: #14724 | 38ms/blk
[137s] submitted: 5,500 actions (40/s) | included: 5,485 actions (40/s) | orders ~16006/s | blk: #14750 | 38ms/blk
[138s] submitted: 5,520 actions (40/s) | included: 5,485 actions (40/s) | orders ~15947/s | blk: #14750 | 38ms/blk
[138s] submitted: 5,540 actions (40/s) | included: 5,528 actions (40/s) | orders ~15984/s | blk: #14772 | 38ms/blk
[139s] submitted: 5,560 actions (40/s) | included: 5,547 actions (40/s) | orders ~15973/s | blk: #14794 | 38ms/blk
[139s] submitted: 5,580 actions (40/s) | included: 5,547 actions (40/s) | orders ~15915/s | blk: #14796 | 38ms/blk
[140s] submitted: 5,620 actions (40/s) | included: 5,607 actions (40/s) | orders ~15999/s | blk: #14841 | 38ms/blk
[141s] submitted: 5,640 actions (40/s) | included: 5,647 actions (40/s) | orders ~16037/s | blk: #14855 | 38ms/blk
